2025-11-16 19:24:41 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:24:41 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:24:54 | INFO     | main_window.py:901 | Пользователь READER вышел из системы.
2025-11-16 19:26:27 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:26:28 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:26:28 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:29:59 | INFO     | main_window.py:906 | Пользователь READER вышел из системы.
2025-11-16 19:30:24 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:30:25 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:30:25 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:30:34 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:30:37 | INFO     | admin_dialogs.py:319 | Загружено 7 узлов структуры гайдов.
2025-11-16 19:30:48 | INFO     | main_window.py:906 | Пользователь ADMIN вышел из системы.
2025-11-16 19:34:33 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:34:34 | INFO     | main.py:43 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 19:34:34 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:34:41 | INFO     | main_window.py:911 | Пользователь ADMIN вышел из системы.
2025-11-16 19:38:08 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:38:09 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:38:09 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:38:09 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:38:09 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:38:58 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:38:59 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:38:59 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:38:59 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:38:59 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:40:09 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:40:09 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:40:09 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:40:09 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:40:09 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:40:30 | INFO     | admin_dialogs.py:319 | Загружено 7 узлов структуры гайдов.
2025-11-16 19:40:30 | INFO     | admin_dialogs.py:319 | Загружено 7 узлов структуры гайдов.
2025-11-16 19:40:31 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:40:31 | INFO     | admin_dialogs.py:192 | Загружено 11 пользователей для управления.
2025-11-16 19:40:43 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:40:44 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:40:44 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:40:44 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:40:44 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:44:52 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:44:53 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:44:53 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:44:53 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:44:53 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:48:33 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:48:34 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:48:34 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:48:34 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:48:34 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:50:48 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:50:49 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:50:49 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:50:49 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:50:49 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:51:14 | INFO     | main_window.py:931 | Пользователь ADMIN вышел из системы.
2025-11-16 19:51:14 | INFO     | main_window.py:931 | Пользователь ADMIN вышел из системы.
2025-11-16 19:51:34 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:51:35 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:51:35 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 19:51:35 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 19:51:35 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 20:01:53 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:01:54 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:01:54 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:01:54 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 20:01:54 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 20:05:44 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:05:44 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:05:44 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:05:45 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 20:05:45 | INFO     | firebase_service.py:35 | Firebase успешно инициализирован.
2025-11-16 20:09:27 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:10:24 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:12:14 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 20:12:14 | INFO     | config.py:42 | Система логирования инициализирована.
